Make,Country
Acura,Japanese
Alfa,Italian
AM,American
Aston,British
Audi,German
Bentley,British
BMW,German
Buick,American
Cadillac,American
Chevrolet,American
Chevrolet,American
Chrysler,American
Dodge,American
Ferrari,Italian
FIAT,Italian
Fisker,American
Ford,American
Freightliner,German
Genesis,Korean
Geo,American
GMC,American
Honda,Japanese
HUMMER,American
Hyundai,Korean
INFINITI,Japanese
Isuzu,Japanese
Jaguar,British
Jeep,American
Kia,Korean
Lamborghini,Italian
Land,British
Lexus,Japanese
Lincoln,American
Lotus,British
MINI,British
Maserati,Italian
Maybach,German
Mazda,Japanese
McLaren,British
Mercedes-Benz,German
Mercury,American
Mini,German
Mitsubishi,Japanese
Nissan,Japanese
Oldsmobile,American
Plymouth,American
Pontiac,American
Porsche,German
Ram,American
Rolls-Royce,British
Saab,Swedish
Saturn,American
Scion,Japanese
smart,German
Subaru,Japanese
Suzuki,Japanese
Tesla,American
Toyota,Japanese
Volkswagen,German
Volvo,Swedish
